ref,name,management,pupils_total_2022_23,pcd,lat,lon,color,color_string,red,green,blue,radius,protestant,catholic,other
101-0063,Currie Primary School ,Controlled,211.0,BT153AB,54.615987,-5.930782,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,145.25839046333948,98,9,104
101-0157,Rosetta Primary School ,Controlled,300.0,BT60JA,54.570179,-5.91184,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,173.20508075688775,92,34,174
101-0205,Forth River Primary School ,Controlled,213.0,BT133PQ,54.61246,-5.969755,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,145.94519519326423,133,0,80
101-0252,Strandtown Primary School ,Controlled,970.0,BT43DJ,54.597401,-5.875551,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,311.44823004794875,480,73,417
101-0255,Elmgrove Primary School ,Controlled,616.0,BT54RS,54.591444,-5.893547,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,248.19347291981717,324,45,247
101-0266,Seaview Primary School ,Controlled,465.0,BT153NB,54.626744,-5.927231,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,215.63858652847824,187,26,252
101-0267,Nettlefield Primary School ,Controlled,410.0,BT68BG,54.592931,-5.906235,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,202.48456731316588,225,52,133
101-0273,Orangefield Primary School ,Controlled,466.0,BT56BA,54.58303,-5.879935,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,215.870331449229,227,14,225
101-0282,Carr's Glen Primary School ,Controlled,330.0,BT146QX,54.62434,-5.961854,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,181.6590212458495,197,9,124
101-0304,Greenwood Primary School & Nursery,Controlled,304.0,BT43HS,54.59561,-5.861099,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,174.35595774162695,105,15,184
101-0307,Springhill Primary School ,Controlled,189.0,BT133NH,54.605993,-5.978496,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,137.4772708486752,122,0-4,63-67
101-0323,Edenbrooke Primary School ,Controlled,372.0,BT133GG,54.609933,-5.953627,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,192.8730152198591,332,0-4,36-40
101-0325,Ligoniel Primary School ,Controlled,198.0,BT148BW,54.62425,-5.978984,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,140.71247279470288,116,7,75
101-0831,Cavehill Primary School ,Controlled,400.0,BT155FG,54.635449,-5.947218,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,200.0,197,61,142
101-3018,Knocknagoney Primary School ,Controlled,258.0,BT42NR,54.618774,-5.85352,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,160.6237840420901,135,15,108
101-6205,Fane Street Primary School ,Controlled,324.0,BT97BW,54.585229,-5.951262,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,180.0,68,16,240
101-6532,Wheatfield Primary School ,Controlled,171.0,BT147JE,54.61958,-5.963036,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,130.7669683062202,93,0-4,74-78
101-6537,Lowwood Primary School ,Controlled,237.0,BT154BL,54.634469,-5.924499,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,153.94804318340653,116,11,110
201-0380,Londonderry Model Primary School ,Controlled,274.0,BT487HJ,55.001857,-7.327068,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,165.52945357246847,13,171,90
201-0382,Ebrington Primary and Nursery School,Controlled,468.0,BT476LR,55.00355,-7.294566,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,216.33307652783935,305,31,132
201-1787,Kesh Primary School ,Controlled,242.0,BT931RF,54.5185,-7.724128,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,155.56349186104046,198,13,31
201-1789,Moat Primary School ,Controlled,131.0,BT920JH,54.250571,-7.441829,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,114.45523142259596,110,0-4,17-21
201-1860,Belleek Primary School ,Controlled,38.0,BT933EZ,54.478584,-8.088848,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,61.64414002968976,27,0-4,7-11
201-1873,Aghadrumsee Primary School ,Controlled,35.0,BT927AU,54.228318,-7.273448,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,59.16079783099616,31-35,0,0-4
201-1879,Newtownbutler Primary School ,Controlled,34.0,BT928JE,54.184655,-7.363636,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,58.30951894845301,30-34,0,0-4
201-1881,Florencecourt Primary School ,Controlled,139.0,BT921BZ,54.267656,-7.705226,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,117.89826122551597,102,6,31
201-1893,Ballinamallard Primary School ,Controlled,156.0,BT942NY,54.423759,-7.595463,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,124.89995996796796,103,11,42
201-1894,Brookeborough Primary School ,Controlled,67.0,BT944EZ,54.315124,-7.405276,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,81.85352771872451,60,0,7
201-1899,Derrygonnelly Primary School ,Controlled,61.0,BT936HY,54.418231,-7.814745,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,78.10249675906654,57-61,0,0-4
201-2245,Eglinton Primary School ,Controlled,204.0,BT473AH,55.022296,-7.181148,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,142.82856857085702,112,26,66
201-2298,Ballykelly Primary School ,Controlled,288.0,BT499JS,55.036151,-7.018907,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,169.70562748477138,101,153,34
201-2638,Edwards Primary School ,Controlled,237.0,BT817HY,54.712165,-7.587335,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,153.94804318340653,217,0-4,16-20
201-2641,Killen Primary School ,Controlled,136.0,BT817SD,54.676376,-7.62298,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,116.619037896906,106,0,30
201-2669,Queen Elizabeth II Primary School ,Controlled,42.0,BT783RJ,54.442087,-7.538532,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,64.8074069840786,38-42,0,0-4
201-2671,Langfield Primary School ,Controlled,22.0,BT784PG,54.616985,-7.493971,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,46.9041575982343,18-22,0,0-4
201-2707,Dromore Primary School ,Controlled,46.0,BT783EE,54.510784,-7.454496,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,67.82329983125268,38,4-4,4-4
201-2708,Strabane Primary School,Controlled,270.0,BT828DX,54.83205,-7.461078,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,164.31676725154983,66,166,38
201-2711,Donemana Primary School ,Controlled,112.0,BT820PH,54.877979,-7.302308,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,105.83005244258362,73,0-4,35-39
201-6003,Jones Memorial Primary School ,Controlled,140.0,BT745QF,54.328868,-7.656817,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,118.32159566199232,64,43,33
201-6102,Tempo Primary School ,Controlled,81.0,BT943LU,54.377149,-7.461287,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,90.0,52,0-4,25-29
201-6127,Maguiresbridge Primary School ,Controlled,125.0,BT944PJ,54.301344,-7.481555,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,111.80339887498948,106,0-4,15-19
201-6151,Irvinestown Primary School ,Controlled,162.0,BT941DY,54.472202,-7.642599,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,127.27922061357856,104,26,32
201-6184,Lack Primary School ,Controlled,25.0,BT930BU,54.546551,-7.579352,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,50.0,21-25,0,0-4
201-6203,Lisnagelvin Primary School ,Controlled,567.0,BT475QZ,54.99271,-7.290194,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,238.1176179958132,293,97,177
201-6218,Lisbellaw Primary School ,Controlled,211.0,BT945BF,54.313563,-7.541601,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,145.25839046333948,180,0-4,27-31
201-6262,Newtownstewart Model Primary School ,Controlled,64.0,BT784EX,54.717583,-7.393252,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,80.0,48,0,16
201-6372,Cumber Claudy Primary School ,Controlled,151.0,BT474HX,54.911407,-7.16597,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,122.88205727444507,121,9,21
201-6395,Gortin Primary School ,Controlled,67.0,BT798QB,54.721979,-7.232268,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,81.85352771872451,56,0-4,7-11
201-6426,Limavady Central Primary School ,Controlled,326.0,BT490NB,55.040775,-6.937312,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,180.55470085267788,218,28,80
201-6645,Bready Jubilee Primary School ,Controlled,123.0,BT820DN,54.922304,-7.424609,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,110.90536506409418,101,0-4,18-22
201-6656,Drumrane Primary School,Controlled,140.0,BT474NL,54.969592,-6.939161,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,118.32159566199232,120,0-4,16-20
201-6663,Cooley Primary School ,Controlled,102.0,BT799DH,54.556212,-7.124179,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,100.99504938362077,83,12,7
206-6549,Enniskillen Integrated Primary School ,Grant Maintained Integrated,425.0,BT744FH,54.364444,-7.647982,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,206.15528128088303,107,198,120
301-0486,Larne and Inver Primary School ,Controlled,191.0,BT403AY,54.848481,-5.823055,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,138.20274961085255,107,0-4,80-84
301-0572,Carrowreagh Primary School ,Controlled,82.0,BT537JL,55.017755,-6.505919,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,90.55385138137416,57,0-4,21-25
301-0594,Garryduff Primary School ,Controlled,77.0,BT537DR,55.03175,-6.447717,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,87.74964387392123,64,0,13
301-0642,Parkgate Primary School ,Controlled,47.0,BT390DH,54.725222,-6.092681,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,68.55654600401044,35,0,12
301-0646,Olderfleet Primary School ,Controlled,118.0,BT401BX,54.851256,-5.804001,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,108.62780491200216,72,0-4,42-46
301-0696,Woodburn Primary School ,Controlled,202.0,BT389AB,54.728669,-5.843831,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,142.12670403551894,131,0-4,67-71
301-0714,Buick Memorial Primary School ,Controlled,287.0,BT421BW,54.888188,-6.353409,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,169.41074346097415,200,0-4,83-87
301-0745,Loanends Primary School ,Controlled,191.0,BT294YR,54.66345,-6.105637,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,138.20274961085255,118,6,67
301-0779,The Thompson Primary School,Controlled,166.0,BT399RX,54.716772,-6.001527,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,128.84098726725125,89,0-4,73-77
301-0780,Kirkinriola Primary School ,Controlled,81.0,BT436TB,54.896659,-6.262434,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,90.0,50,9,22
301-0785,Eden Primary School ,Controlled,209.0,BT387NL,54.728552,-5.774239,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,144.5683229480096,140,0-4,65-69
301-0796,Eden Primary School ,Controlled,86.0,BT537PB,55.03145,-6.56373,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,92.73618495495704,55,0-4,27-31
301-0802,Ballynure Primary School ,Controlled,151.0,BT399UE,54.778394,-5.955464,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,122.88205727444507,94,0-4,53-57
301-0804,Straidbilly Primary School ,Controlled,88.0,BT538EE,55.17219,-6.453421,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,93.8083151964686,72,0,16
301-0808,Glynn Primary School ,Controlled,89.0,BT403HF,54.827894,-5.8119,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,94.33981132056604,63,0,26
301-0818,Moorfields Primary School ,Controlled,197.0,BT423EF,54.828612,-6.154571,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,140.356688476182,158,0-4,35-39
301-0822,Groggan Primary School ,Controlled,124.0,BT413EU,54.785559,-6.367003,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,111.35528725660043,91,0,33
301-0826,The Diamond Primary School ,Controlled,155.0,BT421EE,54.882061,-6.377391,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,124.49899597988733,123,0-4,28-32
301-0827,Whitehouse Primary School ,Controlled,448.0,BT379NZ,54.661514,-5.909372,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,211.66010488516724,196,18,234
301-0829,Antrim Primary School ,Controlled,590.0,BT414AB,54.717316,-6.212895,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,242.8991560298224,450,26,114
301-0835,Kells & Connor Primary School ,Controlled,225.0,BT423LS,54.812475,-6.220689,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,150.0,133,6,86
301-0847,Portrush Primary School ,Controlled,177.0,BT568JW,55.1997,-6.647891,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,133.04134695650072,88,8,81
301-0860,Sunnylands Primary School ,Controlled,194.0,BT388JJ,54.72106,-5.815287,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,139.2838827718412,91-95,0-4,99
301-0870,Moyle Primary School ,Controlled,426.0,BT401NS,54.856238,-5.819227,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,206.39767440550293,259,12,155
301-0874,Whitehead Primary School ,Controlled,440.0,BT389NE,54.757729,-5.710212,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,209.76176963403032,233,28,179
301-0878,Kilmoyle Primary School ,Controlled,99.0,BT536NS,55.131635,-6.549567,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,99.498743710662,77,0-4,18-22
301-0891,Fourtowns Primary School ,Controlled,290.0,BT421LA,54.853382,-6.365883,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,170.29386365926402,214,0-4,72-76
301-0893,Knockahollet Primary School ,Controlled,74.0,BT449BA,55.046713,-6.361116,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,86.02325267042627,50,0,24
301-2049,Carnalridge Primary School ,Controlled,128.0,BT568PB,55.181707,-6.658516,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,113.1370849898476,56,8,64
301-2229,Hezlett Primary School ,Controlled,193.0,BT514TZ,55.153828,-6.781233,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,138.92443989449805,111,5,77
301-2250,Portstewart Primary School ,Controlled,265.0,BT557BT,55.18539,-6.714378,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,162.78820596099706,111,19,135
301-2284,D H Christie Memorial Primary School ,Controlled,358.0,BT513HX,55.139124,-6.682935,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,189.20887928424503,169,57,132
301-2288,Castleroe Primary School ,Controlled,96.0,BT513RN,55.107341,-6.657422,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,97.97958971132712,36-40,0-4,56
301-3310,Broughshane Primary School ,Controlled,309.0,BT424LB,54.892277,-6.215488,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,175.78395831246948,224,0-4,81-85
301-3315,Ballykeel Primary School ,Controlled,427.0,BT424DN,54.858722,-6.258817,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,206.63978319771823,295,0-4,128-132
301-3322,Camphill Primary School ,Controlled,401.0,BT422DG,54.850952,-6.279737,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,200.24984394500788,258,12,131
301-3323,Mossgrove Primary School ,Controlled,229.0,BT365DN,54.675706,-5.971994,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,151.32745950421557,85,29,115
301-3325,Leaney Primary School ,Controlled,299.0,BT537AL,55.066464,-6.505247,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,172.91616465790582,230,0,69
301-3330,Victoria Primary School ,Controlled,411.0,BT387EZ,54.724088,-5.79499,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,202.73134932713293,245,0-4,162-166
301-3331,Ballycraigy Primary School ,Controlled,133.0,BT411PU,54.707264,-6.188233,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,115.32562594670796,26,0,107
301-3704,Castledawson Primary School ,Controlled,141.0,BT458AB,54.778099,-6.558798,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,118.74342087037915,89,0-4,48-52
301-6005,Silverstream Primary School ,Controlled,148.0,BT388XD,54.691829,-5.869642,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,121.65525060596438,67,5,76
301-6037,Greystone Primary School ,Controlled,167.0,BT411JW,54.713521,-6.188451,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,129.22847983320085,67,0-4,96-100
301-6038,Hollybank Primary School ,Controlled,172.0,BT370HF,54.685744,-5.908716,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,131.14877048604,94,0-4,74-78
301-6040,Armoy Primary School ,Controlled,97.0,BT538TD,55.127342,-6.340615,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,98.48857801796105,73,0-4,20-24
301-6058,Parkhall Primary School ,Controlled,181.0,BT411AZ,54.721184,-6.201674,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,134.53624047073708,130,11,40
301-6063,Dunclug Primary School ,Controlled,127.0,BT436SU,54.878934,-6.276332,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,112.69427669584644,23,15,89
301-6119,Garvagh Primary School ,Controlled,97.0,BT515HP,54.987462,-6.685564,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,98.48857801796105,80,0-4,13-17
301-6125,Rasharkin Primary School ,Controlled,70.0,BT448RX,54.954926,-6.479279,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,83.66600265340756,55,0-4,11-15
301-6129,Carniny Primary School ,Controlled,285.0,BT435JR,54.872217,-6.298818,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,168.81943016134133,152,0-4,129-133
301-6225,Woodlawn Primary School ,Controlled,149.0,BT388EZ,54.723673,-5.821712,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,122.06555615733704,38-42,0-4,107
301-6249,Earlview Primary School ,Controlled,219.0,BT365US,54.688617,-5.957531,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,147.9864858694874,89-93,0-4,126
301-6252,Ballysally Primary School ,Controlled,288.0,BT522QU,55.146392,-6.660737,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,169.70562748477138,154,12,122
301-6257,Oakfield Primary School ,Controlled,285.0,BT387SP,54.734919,-5.807569,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,168.81943016134133,175,0-4,106-110
301-6260,Cloughmills Primary School ,Controlled,82.0,BT449LF,54.997223,-6.330208,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,90.55385138137416,58,0-4,20-24
301-6269,Cairncastle Primary School ,Controlled,65.0,BT402RB,54.897785,-5.871936,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,80.62257748298549,35,0-4,26-30
301-6414,Fairview Primary School ,Controlled,485.0,BT399HS,54.755107,-6.00624,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,220.2271554554524,252,12,221
301-6440,Portglenone Primary School ,Controlled,140.0,BT448AF,54.873626,-6.472325,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,118.32159566199232,108,0-4,28-32
301-6444,Hazelbank Primary School ,Controlled,161.0,BT424LP,54.903359,-6.111208,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,126.8857754044952,133,6,22
305-0866,Ballymoney Model Integrated Primary School,Controlled Integrated,376.0,BT536BW,55.071794,-6.523146,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,193.9071942966532,233,21,122
306-6568,Acorn Integrated Primary School ,Grant Maintained Integrated,226.0,BT387JL,54.725719,-5.793737,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,150.33296378372907,115,48,63
401-0720,Ballycarrickmaddy Primary School ,Controlled,191.0,BT282NX,54.552823,-6.149273,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,138.20274961085255,127,6,58
